Species,Order,Brain_area,Num_an,Source,Mass_SD,N_neurons_SD,N_other_SD,Neurons_per_mg_SD,Other_per_mg_SD,Other_per_neuron_SD
"Petrodromustetradactylus,n=2",Afrotheria,olf_bulb,2,"Nevesetal.,2014",0.009,"380,000",NA,"3,084",NA,NA
Pongopygmaeus,Primata,cerebellum,2,"Herculano-HouzelandKaas,2011",4.34,"2,470,000,000",NA,NA,NA,NA
Procaviacapensis,Afrotheria,cerebellum,NA,"Nevesetal.,2014",NA,"42,322,000","30,180,000","46,950","19,711",0.046
Procaviacapensis,Afrotheria,rest_of_brain,NA,"Nevesetal.,2014",0.625,"762,000","6,105,000","2,556","4,138",0.114
Procaviacapensis,Afrotheria,cerebral_ctx,NA,"Nevesetal.,2014",0.646,"29,082,000","13,520,000","3,955","3,461",0.208
"Procaviacapensis,n=1",Afrotheria,olf_bulb,NA,"Nevesetal.,2014",NA,NA,NA,NA,NA,NA
Proechimyscayennensis,Glires,cerebellum,NA,"Herculano-Houzeletal.,2011",0.026,"3,553,848","5,094,068","28,466","6,716",0.026
Proechimyscayennensis,Glires,rest_of_brain,NA,"Herculano-Houzeletal.,2011",0.006,"1,533,120","2,691,449","1,973","2,658",NA
Proechimyscayennensis,Glires,cerebral_ctx,NA,"Herculano-Houzeletal.,2011",0.05,"2,155,723","6,712,722","3,870","11,497",0.03
"Proechimyscayennensis,n=1",Glires,olf_bulb,NA,"Herculano-Houzeletal.,2011",NA,NA,NA,NA,NA,NA
Rattusnorvegicus,Glires,cerebellum,5,"Herculano-Houzeletal.,2006",0.038,"11,185,675","6,282,204","108,847","29,355",0.047
Rattusnorvegicus,Glires,rest_of_brain,5,"Herculano-Houzeletal.,2006",0.153,"4,243,909","5,979,982","6,171","18,475",NA
Rattusnorvegicus,Glires,cerebral_ctx,5,"Herculano-Houzeletal.,2006",0.113,3034654,"5,678,958","7,999","12,477",0.328
Rattusnorvegicus,Glires,olf_bulb,5,"Herculano-Houzeletal.,2006",0.022,"3,202,766","2,250,728","26,913","8,033",0.145
Saimirisciureus,Primata,cerebellum,NA,"Herculano-Houzeletal.,2007",NA,NA,NA,NA,NA,NA
Saimirisciureus,Primata,rest_of_brain,NA,"Herculano-Houzeletal.,2007",NA,NA,NA,NA,NA,NA
Saimirisciureus,Primata,cerebral_ctx,NA,"Herculano-Houzeletal.,2007",0.368,"20,000,000","40,000,000","7,420",790,NA
Scalopusaquaticus,Eulipotyphla,cerebellum,3,"Sarkoetal.,2009",0.008,"13,630,000","3,160,000","63,570","20,790",NA
Scalopusaquaticus,Eulipotyphla,rest_of_brain,3,"Sarkoetal.,2009",0.042,"2,990,000","4,820,000","4,900","2,550",0.379
Scalopusaquaticus,Eulipotyphla,cerebral_ctx,3,"Sarkoetal.,2009",0.032,"5,113,000","5,567,000","12,249","6,407",0.368
Scalopusaquaticus,Eulipotyphla,olf_bulb,3,"Sarkoetal.,2009",0.005,"5,960,000","2,060,000","94,950","14,600",0.154
Sciuruscarolinensis,Glires,cerebellum,9,"Herculano-Houzeletal.,2011",0.069,"71,181,798","9,070,639","74,294","19,212",0.09
Sciuruscarolinensis,Glires,rest_of_brain,9,"Herculano-Houzeletal.,2011",0.156,"17,128,790","3,415,060","9,989","7,808",NA
Sciuruscarolinensis,Glires,cerebral_ctx,9,"Herculano-Houzeletal.,2011",0.178,"2,634,444","13,003,170","1,487","3,859",0.076
Sciuruscarolinensis,Glires,olf_bulb,9,"Herculano-Houzeletal.,2011",0.022,"7,903,412","12,812,316","38,236","58,050",0.776
"Sorexfumeus,n=3",Eulipotyphla,olf_bulb,3,"Sarkoetal.,2009",0.002,"1,050,000","130,000","124,350","44,620",214
Susscrofadomesticus,Artiodactyla,cerebellum,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Susscrofadomesticus,Artiodactyla,rest_of_brain,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Susscrofadomesticus,Artiodactyla,cerebral_ctx,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Susscrofadomesticus,Artiodactyla,olf_bulb,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Tragelaphusstripceros,Artiodactyla,cerebellum,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Tragelaphusstripceros,Artiodactyla,rest_of_brain,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Tragelaphusstripceros,Artiodactyla,cerebral_ctx,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Tragelaphusstripceros,Artiodactyla,olf_bulb,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Tupaiaglis,Scandentia,cerebellum,NA,"Herculano-Houzeletal.,2007",0.018,"16,980,000","1,510,000","83,200","7,990",NA
Tupaiaglis,Scandentia,rest_of_brain,NA,"Herculano-Houzeletal.,2007",0.072,NA,NA,NA,NA,NA
Tupaiaglis,Scandentia,cerebral_ctx,NA,"Herculano-Houzeletal.,2007",0.174,"26,510,000","8,400,000","23,350","1,270",NA
"Tupaiaglis,n=16",Scandentia,olf_bulb,NA,"Herculano-Houzeletal.,2007",0.032,"3,584,952","6,541,838","17,451","51,596",NA
