Species,Population,Name,Sex,Age,Subject #,Warmups,Test % Correct,1st Half % Correct,2nd Half % Correct
Gray wolf,Wolf Science Center,Wapi,M,0.73424657534246573,9,14,80,80,80
Gray wolf,Wolf Science Center,Kenai,M,0.31506849315068491,10,4,100,100,100
Gray wolf,Wolf Science Center,Aragorn,M,2.6767123287671235,11,4,90,100,80
Hamadryus baboon,North Carolina Zoo,Tchabu,M,5,1,5,100,100,100
Hamadryus baboon,North Carolina Zoo,Cairo,M,5,2,4,90,80,100
Hamadryus baboon,North Carolina Zoo,Geb,M,6,3,5,60,20,100
Hamadryus baboon,North Carolina Zoo,Matilda,F,20,4,6,0,0,0
Hamadryus baboon,North Carolina Zoo,Mendi,F,12,5,4,50,20,80
Hamadryus baboon,North Carolina Zoo,Gondar,M,12,6,6,100,100,100
Hamadryus baboon,North Carolina Zoo,Tukio,M,5,7,7,90,100,80
Hamadryus baboon,North Carolina Zoo,Marta,F,23,8,5,20,0,40
Hamadryus baboon,North Carolina Zoo,Riya,F,7,9,4,100,100,100
Marmoset,University of Zurich,Juniper,M,12,1,10,11.11111111111111,0,25
Marmoset,University of Zurich,Kapi,M,7,2,4,30,20,40
Marmoset,University of Zurich,Kantor,M,6,3,4,60,80,40
Marmoset,University of Zurich,Kaliper,M,8,4,5,0,0,0
Marmoset,University of Zurich,Kalium,F,12,5,5,20,0,40
Marmoset,University of Zurich,Venus,F,5,6,4,40,60,20
Marmoset,University of Zurich,Venezia,F,4,7,4,50,40,60
Marmoset,University of Zurich,Vesta,F,8,8,11,30,0,60
Marmoset,University of Zurich,Verona,F,8,9,4,90,80,100
Marmoset,University of Zurich,Vreni,F,8,10,4,20,0,40
Marmoset,University of Zurich,Juri,M,9,11,4,0,0,0
Mongolian gerbil,UC Berkeley,Dva,F,1.5,1,5,50,40,60
Mongolian gerbil,UC Berkeley,Adlin,M,1.5,2,4,60,60,60
Mongolian gerbil,UC Berkeley,Tri,M,1.5,3,4,50,40,60
Mongolian gerbil,UC Berkeley,Chetryi,F,1.5,4,15,60,40,80
Mongolian gerbil,UC Berkeley,Alti,F,0.5,5,5,80,100,60
Mongolian gerbil,UC Berkeley,Ooch,M,0.5,6,5,70,80,60
Mongolian gerbil,UC Berkeley,Besh,M,0.5,7,5,90,100,80
Mongolian gerbil,UC Berkeley,Ni,F,0.5,8,4,90,80,100
Mongolian gerbil,UC Berkeley,Roku,F,0.5,9,5,77.77777777777779,60,100
Mongolian gerbil,UC Berkeley,Vente,F,0.5,10,4,70,40,100
Mongolian gerbil,UC Berkeley,Sekkiz,F,0.5,11,10,60,60,60
Mongoose lemur,Duke Lemur Center,Concepcion,F,23.336986301369862,1,10,30,0,60
Mongoose lemur,Duke Lemur Center,Moheli,F,20.802739726027397,2,4,30,0,60
Mongoose lemur,Duke Lemur Center,Eduardo,M,14.926027397260274,3,4,40,20,60
Mongoose lemur,Duke Lemur Center,Paco,M,10.813698630136987,4,4,90,80,100
Mongoose lemur,Duke Lemur Center,Mercedes,M,4.0575342465753428,5,4,70,60,80
Mongoose lemur,Duke Lemur Center,Piedad,F,21.849315068493151,6,4,70,80,60
Mongoose lemur,Duke Lemur Center,Julio,M,19.268493150684932,7,4,70,60,80
Mongoose lemur,Duke Lemur Center,Maddie,F,3.2876712328767121,8,5,100,100,100
Mongoose lemur,Duke Lemur Center,Sancho,M,26.712328767123289,9,5,50,40,60
Mongoose lemur,Duke Lemur Center,Flor,F,23.065753424657533,10,6,40,0,80
Olive baboon,Seneca Park Zoo,Jefferson,M,4,1,4,70,60,80
Olive baboon,Seneca Park Zoo,Kalamata,M,3,2,5,90,100,80
Olive baboon,Seneca Park Zoo,Mansino,M,6,3,10,70,80,60
Olive baboon,Seneca Park Zoo,Olive Oil,F,4,4,4,80,80,80
Olive baboon,Seneca Park Zoo,Pearl,F,3,5,5,70,40,100
Olive baboon,Seneca Park Zoo,Pepperella,F,17,6,6,80,100,60
Olive baboon,Seneca Park Zoo,Sabina,F,4,7,5,60,80,40
Olive baboon,Seneca Park Zoo,Ursula,F,13,8,4,90,80,100
Orange-winged Amazon,University of St. Andrews,BUR - Benny,M,ADULT,1,4,40,20,60
Orange-winged Amazon,University of St. Andrews,RR- Stumpy,M,ADULT,2,4,50,60,40
Orange-winged Amazon,University of St. Andrews,PUR - Pete,M,ADULT,3,4,50,60,40
Orange-winged Amazon,University of St. Andrews,PIR - Bo,M,ADULT,4,5,40,60,20
Orange-winged Amazon,University of St. Andrews,BUL -Tulip,F,ADULT,5,9,40,40,40
Orange-winged Amazon,University of St. Andrews,GDL - Ricky,M,ADULT,6,5,50,20,80
Orange-winged Amazon,University of St. Andrews,OR - Simon,M,ADULT,7,4,40,0,80
