Species,Population,Subject,Sex,Age,Cylinder,A.not.B
squirrel monkey,Kyoto University,Homer,F,16,*,*
squirrel monkey,Kyoto University,Kantaro,F,4,*,*
squirrel monkey,Kyoto University,Lucca,F,14,*,*
squirrel monkey,Kyoto University,Roi,M,9,*,*
squirrel monkey,Kyoto University,Sayuri,F,9,*,*
squirrel monkey,Kyoto University,Sora,F,4,*,*
squirrel monkey,Kyoto University,Yaya,F,14,*,*
squirrel monkey,University of St. Andrews,Cali,F,7,*,*
squirrel monkey,University of St. Andrews,Ellie,F,7,*,*
squirrel monkey,University of St. Andrews,Jasmine,F,10,*,*
squirrel monkey,University of St. Andrews,Lexi,F,2,*,*
squirrel monkey,University of St. Andrews,Rio,M,12,*,*
squirrel monkey,University of St. Andrews,Roca,F,9,*,*
squirrel monkey,University of St. Andrews,Sancha,F,3,*,*
squirrel monkey,University of St. Andrews,Tatu,F,11,*,*
squirrel monkey,University of St. Andrews,Toomi,F,6,*,*
stump-tailed macaque,Peking University,Sub1,M,21,-,*
stump-tailed macaque,Peking University,Sub2,M,22,-,*
stump-tailed macaque,Peking University,Sub3,M,21,-,*
stump-tailed macaque,Peking University,Sub4,M,8,-,*
stump-tailed macaque,Peking University,Sub5,M,21,-,*
stump-tailed macaque,Peking University,Sub6,F,9,-,*
stump-tailed macaque,Peking University,Sub7,M,27,-,*
swamp sparrow,Duke University,sw640,F,unknown,*,-
swamp sparrow,Duke University,sw641,F,unknown,*,-
swamp sparrow,Duke University,sw642,F,unknown,*,-
swamp sparrow,Duke University,sw643,F,unknown,*,-
swamp sparrow,Duke University,sw644,F,unknown,*,-
swamp sparrow,Duke University,sw645,F,unknown,*,-
swamp sparrow,Duke University,sw646,F,unknown,*,-
swamp sparrow,Duke University,sw650,F,unknown,*,-
swamp sparrow,Duke University,sw652,F,unknown,*,-
swamp sparrow,Duke University,sw654,F,unknown,*,-
swamp sparrow,Duke University,sw655,F,unknown,*,-
swamp sparrow,Duke University,sw656,F,unknown,*,-
swamp sparrow,Duke University,sw657,F,unknown,*,-
swamp sparrow,Duke University,sw658,F,unknown,*,-
swamp sparrow,Duke University,sw659,F,unknown,*,-
swamp sparrow,Duke University,sw661,F,unknown,*,-
swamp sparrow,Duke University,sw662,F,unknown,*,-
swamp sparrow,Duke University,sw663,F,unknown,*,-
swamp sparrow,Duke University,sw665,F,unknown,*,-
swamp sparrow,Duke University,sw666,F,unknown,*,-
swamp sparrow,Duke University,sw667,F,unknown,*,-
swamp sparrow,Duke University,sw668,F,unknown,*,-
swamp sparrow,Duke University,sw669,F,unknown,*,-
western scrub jay,University of Cambridge,scrub201,M,4,*,*
western scrub jay,University of Cambridge,scrub203,unknown,4,*,*
western scrub jay,University of Cambridge,scrub220,M,4,-,*
western scrub jay,University of Cambridge,scrub222,M,4,*,*
western scrub jay,University of Cambridge,scrub223,F,4,*,*
western scrub jay,University of Cambridge,scrub224,F,4,*,*
western scrub jay,University of Cambridge,scrub229,unknown,4,*,-
white carneau pigeon,University of Kentucky,10742,M,11,*,*
white carneau pigeon,University of Kentucky,11746,M,6,*,*
white carneau pigeon,University of Kentucky,17878,M,6,*,*
white carneau pigeon,University of Kentucky,19276,M,6,*,*
white carneau pigeon,University of Kentucky,19306,M,6,*,*
white carneau pigeon,University of Kentucky,19338,M,6,*,*
white carneau pigeon,University of Kentucky,19824,M,6,*,*
white carneau pigeon,University of Kentucky,19845,M,6,*,*
white carneau pigeon,University of Kentucky,19849,M,6,*,*
white carneau pigeon,University of Kentucky,19854,M,6,*,*
white carneau pigeon,University of Kentucky,22642,M,6,*,*
white carneau pigeon,University of Kentucky,19227,M,6,*,-
zebra finch,Duke University,zf 100,M,unknown,*,-
zebra finch,Duke University,zf 101,M,unknown,*,-
zebra finch,Duke University,zf 102,M,unknown,*,-
zebra finch,Duke University,zf 104,F,unknown,*,-
zebra finch,Duke University,zf 105,M,unknown,*,-
zebra finch,Duke University,zf 35,M,unknown,*,-
zebra finch,Duke University,zf 38,M,unknown,*,-
zebra finch,Duke University,zf 40,F,unknown,*,-
zebra finch,Duke University,zf 42,F,unknown,*,-
zebra finch,Duke University,zf 43,M,unknown,*,-
zebra finch,Duke University,zf 44,F,unknown,*,-
zebra finch,Duke University,zf 45,F,unknown,*,-
zebra finch,Duke University,zf 49,M,unknown,*,-
zebra finch,Duke University,zf 50,F,unknown,*,-
zebra finch,Duke University,zf 51,F,unknown,*,-
zebra finch,Duke University,zf 52,M,unknown,*,-
zebra finch,Duke University,zf 53,F,unknown,*,-
zebra finch,Duke University,zf 54,F,unknown,*,-
zebra finch,Duke University,zf 55,F,unknown,*,-
zebra finch,Duke University,zf 56,F,unknown,*,-
zebra finch,Duke University,zf 58,M,unknown,*,-
zebra finch,Duke University,zf 61,F,unknown,*,-
zebra finch,Duke University,zf 62,F,unknown,*,-
zebra finch,Duke University,zf 63,M,unknown,*,-
zebra finch,Duke University,zf 66,M,unknown,*,-
zebra finch,Duke University,zf 67,M,unknown,*,-
zebra finch,Duke University,zf 68,F,unknown,*,-
zebra finch,Duke University,zf 70,M,unknown,*,-
zebra finch,Duke University,zf 71,F,unknown,*,-
zebra finch,Duke University,zf 73,F,unknown,*,-
zebra finch,Duke University,zf 75,M,unknown,*,-
zebra finch,Duke University,zf 79,F,unknown,*,-
zebra finch,Duke University,zf 80,F,unknown,*,-
zebra finch,Duke University,zf 81,M,unknown,*,-
zebra finch,Duke University,zf 82,F,unknown,*,-
zebra finch,Duke University,zf 83,M,unknown,*,-
zebra finch,Duke University,zf 85,M,unknown,*,-
zebra finch,Duke University,zf 87,F,unknown,*,-
zebra finch,Duke University,zf 88,F,unknown,*,-
zebra finch,Duke University,zf 89,F,unknown,*,-
zebra finch,Duke University,zf 91,M,unknown,*,-
zebra finch,Duke University,zf 94,M,unknown,*,-
zebra finch,Duke University,zf 96,M,unknown,*,-
zebra finch,Duke University,zf 97,F,unknown,*,-
zebra finch,Duke University,zf 98,F,unknown,*,-
zebra finch,Duke University,zf 99,M,unknown,*,-
zebra finch,Duke University,zf47,M,unknown,*,-
