Common.Name,Latin.Name,A.not.B.Y.N,Cylinder.Y.N,Task,Score,Composite.Score,Sex,Age,Population,Subject
fox squirrel,Scurius niger,Y,N,Cylinder.Task,66.900000000000006,39.700000000000003,F,1,UC Berkeley,Romi
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,M,unknown,UC Berkeley,Rooster
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,M,unknown,UC Berkeley,Rooster Jr
fox squirrel,Scurius niger,Y,N,Cylinder.Task,66.900000000000006,39.700000000000003,M,1,UC Berkeley,Silver
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,unknown,unknown,UC Berkeley,Slow Eater
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,unknown,unknown,UC Berkeley,Tornado
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,unknown,unknown,UC Berkeley,Van
fox squirrel,Scurius niger,Y,N,Cylinder.Task,66.900000000000006,39.700000000000003,M,1,UC Berkeley,Zippy
fox squirrel,Scurius niger,Y,N,A.not.B.Task,12.5,39.700000000000003,M,1,UC Berkeley,Ace
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,unknown,unknown,UC Berkeley,Boomerang
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,F,unknown,UC Berkeley,Cal
fox squirrel,Scurius niger,Y,N,A.not.B.Task,12.5,39.700000000000003,F,3,UC Berkeley,Cursive
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,F,unknown,UC Berkeley,Dot
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,F,unknown,UC Berkeley,Grumpy
fox squirrel,Scurius niger,Y,N,A.not.B.Task,12.5,39.700000000000003,F,1,UC Berkeley,Isis
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,F,unknown,UC Berkeley,Jemaine
fox squirrel,Scurius niger,Y,N,A.not.B.Task,12.5,39.700000000000003,F,1,UC Berkeley,Leila
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,unknown,unknown,UC Berkeley,Missi
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,F,unknown,UC Berkeley,Nemo
fox squirrel,Scurius niger,Y,N,A.not.B.Task,12.5,39.700000000000003,unknown,1,UC Berkeley,NR
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,F,unknown,UC Berkeley,Picasso
fox squirrel,Scurius niger,Y,N,A.not.B.Task,12.5,39.700000000000003,F,1,UC Berkeley,Romi
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,M,unknown,UC Berkeley,Rooster
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,M,unknown,UC Berkeley,Rooster Jr
fox squirrel,Scurius niger,Y,N,A.not.B.Task,12.5,39.700000000000003,M,1,UC Berkeley,Silver
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,unknown,unknown,UC Berkeley,Slow Eater
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,unknown,unknown,UC Berkeley,Tornado
fox squirrel,Scurius niger,N,Y,A.not.B.Task,12.5,39.700000000000003,unknown,unknown,UC Berkeley,Van
fox squirrel,Scurius niger,Y,N,A.not.B.Task,12.5,39.700000000000003,M,1,UC Berkeley,Zippy
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,F,5,Laboratorio Tropical de Primatologia,cg02
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,F,5,Laboratorio Tropical de Primatologia,cg03
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,F,5,Laboratorio Tropical de Primatologia,cg13
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,M,12,Laboratorio Tropical de Primatologia,cg25
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,F,7,Laboratorio Tropical de Primatologia,cg28
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,F,5,Laboratorio Tropical de Primatologia,cg33
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,F,5,Laboratorio Tropical de Primatologia,cg40
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,M,10,Laboratorio Tropical de Primatologia,cg43
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,M,5,Laboratorio Tropical de Primatologia,cgBIG
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,Cylinder.Task,63,NA,F,3,Laboratorio Tropical de Primatologia,cgRT
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,F,5,Laboratorio Tropical de Primatologia,cg02
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,F,5,Laboratorio Tropical de Primatologia,cg03
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,F,5,Laboratorio Tropical de Primatologia,cg13
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,M,12,Laboratorio Tropical de Primatologia,cg25
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,F,7,Laboratorio Tropical de Primatologia,cg28
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,F,5,Laboratorio Tropical de Primatologia,cg33
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,F,5,Laboratorio Tropical de Primatologia,cg40
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,M,10,Laboratorio Tropical de Primatologia,cg43
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,M,5,Laboratorio Tropical de Primatologia,cgBIG
golden-headed lion tamarin,Leontopithecus chrysomelas,N,Y,A.not.B.Task,NA,NA,F,3,Laboratorio Tropical de Primatologia,cgRT
golden snub-nosed monkey,Rhinopithecus roxellana,NA,NA,Cylinder.Task,35,45.3,NA,NA,NA,NA
golden snub-nosed monkey,Rhinopithecus roxellana,NA,NA,A.not.B.Task,55.6,45.3,NA,NA,NA,NA
gorilla,Gorilla gorilla,N,Y,Cylinder.Task,94.4,97.2,F,7,MPI - Leipzig,Kibara
gorilla,Gorilla gorilla,N,Y,Cylinder.Task,94.4,97.2,F,4,MPI - Leipzig,Louna
gorilla,Gorilla gorilla,Y,Y,Cylinder.Task,94.4,97.2,F,16,MPI - Leipzig,Viringika
gorilla,Gorilla gorilla,Y,N,Cylinder.Task,94.4,97.2,F,6,MPI-Leipzig,Bebe
gorilla,Gorilla gorilla,Y,N,Cylinder.Task,94.4,97.2,M,30,MPI-Leipzig,Gorgo
gorilla,Gorilla gorilla,Y,N,Cylinder.Task,94.4,97.2,F,32,MPI-Leipzig,Ndiki
gorilla,Gorilla gorilla,Y,N,Cylinder.Task,94.4,97.2,M,16,MPI-Leipzig,Nkwango
gorilla,Gorilla gorilla,Y,N,Cylinder.Task,94.4,97.2,F,11,MPI-Leipzig,Ruby
gorilla,Gorilla gorilla,Y,N,Cylinder.Task,94.4,97.2,F,11,MPI-Leipzig,Vizuri
gorilla,Gorilla gorilla,Y,Y,Cylinder.Task,94.4,97.2,M,17,National Zoo,Baraka
