Species,Population,Name,Sex,Age,Subject #,Test % Correct,1st Half % Correct,2nd Half % Correct,Trial_type,N_trials
Mongolian gerbil,UC Berkeley,Alti,F,0.5,5,80,100,60,Warmups,5
Mongolian gerbil,UC Berkeley,Ooch,M,0.5,6,70,80,60,Warmups,5
Mongolian gerbil,UC Berkeley,Besh,M,0.5,7,90,100,80,Warmups,5
Mongolian gerbil,UC Berkeley,Ni,F,0.5,8,90,80,100,Warmups,4
Mongolian gerbil,UC Berkeley,Roku,F,0.5,9,77.77777777777779,60,100,Warmups,5
Mongolian gerbil,UC Berkeley,Vente,F,0.5,10,70,40,100,Warmups,4
Mongolian gerbil,UC Berkeley,Sekkiz,F,0.5,11,60,60,60,Warmups,10
Mongoose lemur,Duke Lemur Center,Concepcion,F,23.336986301369862,1,30,0,60,Warmups,10
Mongoose lemur,Duke Lemur Center,Moheli,F,20.802739726027397,2,30,0,60,Warmups,4
Mongoose lemur,Duke Lemur Center,Eduardo,M,14.926027397260274,3,40,20,60,Warmups,4
Mongoose lemur,Duke Lemur Center,Paco,M,10.813698630136987,4,90,80,100,Warmups,4
Mongoose lemur,Duke Lemur Center,Mercedes,M,4.0575342465753428,5,70,60,80,Warmups,4
Mongoose lemur,Duke Lemur Center,Piedad,F,21.849315068493151,6,70,80,60,Warmups,4
Mongoose lemur,Duke Lemur Center,Julio,M,19.268493150684932,7,70,60,80,Warmups,4
Mongoose lemur,Duke Lemur Center,Maddie,F,3.2876712328767121,8,100,100,100,Warmups,5
Mongoose lemur,Duke Lemur Center,Sancho,M,26.712328767123289,9,50,40,60,Warmups,5
Mongoose lemur,Duke Lemur Center,Flor,F,23.065753424657533,10,40,0,80,Warmups,6
Olive baboon,Seneca Park Zoo,Jefferson,M,4,1,70,60,80,Warmups,4
Olive baboon,Seneca Park Zoo,Kalamata,M,3,2,90,100,80,Warmups,5
Olive baboon,Seneca Park Zoo,Mansino,M,6,3,70,80,60,Warmups,10
Olive baboon,Seneca Park Zoo,Olive Oil,F,4,4,80,80,80,Warmups,4
Olive baboon,Seneca Park Zoo,Pearl,F,3,5,70,40,100,Warmups,5
Olive baboon,Seneca Park Zoo,Pepperella,F,17,6,80,100,60,Warmups,6
Olive baboon,Seneca Park Zoo,Sabina,F,4,7,60,80,40,Warmups,5
Olive baboon,Seneca Park Zoo,Ursula,F,13,8,90,80,100,Warmups,4
Orange-winged Amazon,University of St. Andrews,BUR - Benny,M,ADULT,1,40,20,60,Warmups,4
Orange-winged Amazon,University of St. Andrews,RR- Stumpy,M,ADULT,2,50,60,40,Warmups,4
Orange-winged Amazon,University of St. Andrews,PUR - Pete,M,ADULT,3,50,60,40,Warmups,4
Orange-winged Amazon,University of St. Andrews,PIR - Bo,M,ADULT,4,40,60,20,Warmups,5
Orange-winged Amazon,University of St. Andrews,BUL -Tulip,F,ADULT,5,40,40,40,Warmups,9
Orange-winged Amazon,University of St. Andrews,GDL - Ricky,M,ADULT,6,50,20,80,Warmups,5
Orange-winged Amazon,University of St. Andrews,OR - Simon,M,ADULT,7,40,0,80,Warmups,4
Orange-winged Amazon,University of St. Andrews,OL - Piglet,F,ADULT,8,70,80,60,Warmups,5
Orange-winged Amazon,University of St. Andrews,SR - Penny,F,ADULT,9,70,80,60,Warmups,4
Orange-winged Amazon,University of St. Andrews,LGR - Belle,F,ADULT,10,50,40,60,Warmups,5
Orange-winged Amazon,University of St. Andrews,PIL - Rocky,M,ADULT,11,40,0,80,Warmups,5
Orange-winged Amazon,University of St. Andrews,GYLSR _ Freckles,M,ADULT,12,70,60,80,Warmups,5
Orangutan,MPI - Leipzig,Kila,F,11,1,100,100,100,Warmups,4
Orangutan,MPI - Leipzig,Padana,F,13,2,100,100,100,Warmups,4
Orangutan,MPI - Leipzig,Dokana,F,22,3,100,100,100,Warmups,4
Orangutan,MPI - Leipzig,Pini,F,23,4,100,100,100,Warmups,4
Orangutan,MPI - Leipzig,Raaja,F,7,5,100,100,100,Warmups,4
Orangutan,National Zoo,Lucy,F,37,6,100,100,100,Warmups,7
Orangutan,National Zoo,Iris,F,23,7,100,100,100,Warmups,4
Orangutan,National Zoo,Kiko,M,22,8,100,100,100,Warmups,4
Orangutan,National Zoo,Batang,F,13,9,100,100,100,Warmups,4
Orangutan,National Zoo,Bonnie,F,33,10,100,100,100,Warmups,4
Orangutan,National Zoo,Kyle,M,13,11,90,100,80,Warmups,5
Red-bellied lemur,Duke Lemur Center,Hopi,F,19.994520547945207,1,80,80,80,Warmups,5
Red-bellied lemur,Duke Lemur Center,Dido,F,26.079452054794519,2,80,60,100,Warmups,7
Red-bellied lemur,Duke Lemur Center,Navajo,M,22.164383561643834,3,90,80,100,Warmups,22
Red-bellied lemur,Duke Lemur Center,Cheyenne,F,21.887671232876713,4,20,0,40,Warmups,6
Red-bellied lemur,Duke Lemur Center,Iroquois,M,17.93972602739726,5,50,60,40,Warmups,5
Red-bellied lemur,Duke Lemur Center,Hannibal,M,23.745205479452054,6,60,20,100,Warmups,20
Red-bellied lemur,Duke Lemur Center,Fox,F,15.063013698630137,7,100,100,100,Warmups,11
Red-bellied lemur,Duke Lemur Center,Mohawk,M,28.161643835616438,8,30,20,40,Warmups,56
Rhesus macaque,Duke University,Curry,F,9,1,90,80,100,Warmups,4
Rhesus macaque,Duke University,Mikulski,F,14,2,90,80,100,Warmups,4
Rhesus macaque,Duke University,Feinstein,F,15,3,90,80,100,Warmups,4
Rhesus macaque,Duke University,Bails,F,9,4,90,80,100,Warmups,4
Rhesus macaque,Duke University,Schroeder,F,14,5,90,80,100,Warmups,4
Rhesus macaque,Duke University,Boxer,F,14,6,30,20,40,Warmups,4
Ring-tailed Lemur,Duke Lemur Center,CapnLee,M,8.1589041095890416,1,30,40,20,Warmups,6
Ring-tailed Lemur,Duke Lemur Center,Nemo,M,20.895890410958906,2,50,40,60,Warmups,14
Ring-tailed Lemur,Duke Lemur Center,Cleonomis,F,20.827397260273973,3,40,20,60,Warmups,7
Ring-tailed Lemur,Duke Lemur Center,Tellus,F,4.13972602739726,4,90,80,100,Warmups,4
Ring-tailed Lemur,Duke Lemur Center,Ginger,F,2.1671232876712327,5,90,80,100,Warmups,4
Ring-tailed Lemur,Duke Lemur Center,Teres,M,13.057534246575342,6,100,100,100,Warmups,4
Ring-tailed Lemur,Duke Lemur Center,Nicea,F,5.4356164383561643,7,60,60,60,Warmups,5
Ring-tailed Lemur,Duke Lemur Center,Berisades,M,5.4082191780821915,8,70,40,100,Warmups,7
Ring-tailed Lemur,Duke Lemur Center,Cleis,F,24.117808219178084,9,50,40,60,Warmups,5
Ring-tailed Lemur,Duke Lemur Center,Lilah,F,4.4219178082191783,10,80,80,80,Warmups,5
Ring-tailed Lemur,Duke Lemur Center,Ivy,M,3.1013698630136988,11,88.88888888888889,80,100,Warmups,4
Ruffed Lemur,Duke Lemur Center,Alphard,M,18.92876712328767,1,80,80,80,Warmups,10
Ruffed Lemur,Duke Lemur Center,Borealis,M,19.87945205479452,2,20,20,20,Warmups,5
Ruffed Lemur,Duke Lemur Center,Antilia,F,18.934246575342467,3,60,60,60,Warmups,5
Ruffed Lemur,Duke Lemur Center,Carina,F,4.0821917808219181,4,100,100,100,Warmups,4
Ruffed Lemur,Duke Lemur Center,Aries,M,0.87671232876712324,5,60,40,80,Warmups,5
Ruffed Lemur,Duke Lemur Center,Little Dipper,F,5.9068493150684933,6,80,80,80,Warmups,5
Ruffed Lemur,Duke Lemur Center,Junior,M,4.3589041095890408,7,80,80,80,Warmups,4
Ruffed Lemur,Duke Lemur Center,Comet,M,24.043835616438358,8,50,40,60,Warmups,4
Ruffed Lemur,Duke Lemur Center,Grace,F,12.271232876712329,9,70,60,80,Warmups,4
Ruffed Lemur,Duke Lemur Center,Diphda,F,19.17808219178082,10,66.66666666666666,60,75,Warmups,5
Ruffed Lemur,Duke Lemur Center,Hunter,M,11.849315068493151,11,100,100,100,Warmups,8
Song sparrow,Duke University,Bk-OR,M,unkown,1,10,0,20,Warmups,4
Song sparrow,Duke University,FY-WW,M,unkown,2,10,20,0,Warmups,4
Song sparrow,Duke University,G-BkBk,M,unkown,3,20,20,20,Warmups,4
Song sparrow,Duke University,G-OO,M,unkown,4,20,20,20,Warmups,4
Song sparrow,Duke University,G-PkPk,M,unkown,5,20,20,20,Warmups,4
Song sparrow,Duke University,G-WG,M,unkown,6,50,20,80,Warmups,4
